IOCTL_1394_CLASS	0x22021d
IOCTL_1394_TOGGLE_ENUM_TEST_OFF	0x220224
IOCTL_1394_TOGGLE_ENUM_TEST_ON	0x220220
IOCTL_61883_CLASS	0x220245
IOCTL_AACS_END_SESSION	0x3350cc
IOCTL_AACS_GENERATE_BINDING_NONCE	0x33d0f0
IOCTL_AACS_GET_CERTIFICATE	0x3350d4
IOCTL_AACS_GET_CHALLENGE_KEY	0x3350d8
IOCTL_AACS_READ_BINDING_NONCE	0x3350ec
IOCTL_AACS_READ_MEDIA_ID	0x3350e8
IOCTL_AACS_READ_MEDIA_KEY_BLOCK	0x3350c4
IOCTL_AACS_READ_MEDIA_KEY_BLOCK_SIZE	0x3350c0
IOCTL_AACS_READ_SERIAL_NUMBER	0x3350e4
IOCTL_AACS_READ_VOLUME_ID	0x3350e0
IOCTL_AACS_SEND_CERTIFICATE	0x3350d0
IOCTL_AACS_SEND_CHALLENGE_KEY	0x3350dc
IOCTL_AACS_START_SESSION	0x3350c8
IOCTL_ABORT_PIPE	0x80002004
IOCTL_ACPI_ACQUIRE_GLOBAL_LOCK	0x32c010
IOCTL_ACPI_ASYNC_EVAL_METHOD	0x32c000
IOCTL_ACPI_ASYNC_EVAL_METHOD_EX	0x32c01c
IOCTL_ACPI_ENUM_CHILDREN	0x32c020
IOCTL_ACPI_EVAL_METHOD	0x32c004
IOCTL_ACPI_EVAL_METHOD_EX	0x32c018
IOCTL_ACPI_RELEASE_GLOBAL_LOCK	0x32c014
IOCTL_ARP_SEND_REQUEST	0x67
IOCTL_ATA_MINIPORT	0x4d034
IOCTL_ATA_PASS_THROUGH	0x4d02c
IOCTL_ATA_PASS_THROUGH_DIRECT	0x4d030
IOCTL_AVCSTRM_CLASS	0x22024d
IOCTL_AVC_BUS_RESET	0x2a0008
IOCTL_AVC_CLASS	0x220248
IOCTL_AVC_REMOVE_VIRTUAL_SUBUNIT_INFO	0x2a0004
IOCTL_AVC_UPDATE_VIRTUAL_SUBUNIT_INFO	0x2a0000
IOCTL_AVIO_ALLOCATE_STREAM	0xff0004
IOCTL_AVIO_FREE_STREAM	0xff0008
IOCTL_AVIO_MODIFY_STREAM	0xff000c
IOCTL_BATTERY_QUERY_INFORMATION	0x294044
IOCTL_BATTERY_QUERY_STATUS	0x29404c
IOCTL_BATTERY_QUERY_TAG	0x294040
IOCTL_BATTERY_SET_INFORMATION	0x298048
IOCTL_BEEP_SET	0x10000
IOCTL_BIOMETRIC_CALIBRATE	0x44000c
IOCTL_BIOMETRIC_CAPTURE_DATA	0x440014
IOCTL_BIOMETRIC_GET_ATTRIBUTES	0x440004
IOCTL_BIOMETRIC_GET_INDICATOR	0x440020
IOCTL_BIOMETRIC_GET_SENSOR_STATUS	0x440010
IOCTL_BIOMETRIC_GET_SUPPORTED_ALGORITHMS	0x44001c
IOCTL_BIOMETRIC_RESET	0x440008
IOCTL_BIOMETRIC_SET_INDICATOR	0x440024
IOCTL_BIOMETRIC_UPDATE_FIRMWARE	0x440018
IOCTL_BIOMETRIC_VENDOR	0x442000
IOCTL_BTH_DISCONNECT_DEVICE	0x41000c
IOCTL_BTH_EIR_GET_RECORDS	0x410040
IOCTL_BTH_EIR_REMOVE_RECORD	0x41004c
IOCTL_BTH_EIR_SUBMIT_RECORD	0x410044
IOCTL_BTH_EIR_UPDATE_RECORD	0x410048
IOCTL_BTH_GET_DEVICE_INFO	0x410008
IOCTL_BTH_GET_DEVICE_RSSI	0x410014
IOCTL_BTH_GET_LOCAL_INFO	0x410000
IOCTL_BTH_GET_RADIO_INFO	0x410004
IOCTL_BTH_HCI_VENDOR_COMMAND	0x410050
IOCTL_BTH_SDP_ATTRIBUTE_SEARCH	0x41020c
IOCTL_BTH_SDP_CONNECT	0x410200
IOCTL_BTH_SDP_DISCONNECT	0x410204
IOCTL_BTH_SDP_REMOVE_RECORD	0x410218
IOCTL_BTH_SDP_SERVICE_ATTRIBUTE_SEARCH	0x410210
IOCTL_BTH_SDP_SERVICE_SEARCH	0x410208
IOCTL_BTH_SDP_SUBMIT_RECORD	0x410214
IOCTL_BTH_SDP_SUBMIT_RECORD_WITH_INFO	0x41021c
IOCTL_CANCEL_DEVICE_WAKE	0x298008
IOCTL_CANCEL_GET_SEND_MESSAGE	0x2b0038
IOCTL_CANCEL_IO	0x80002004
IOCTL_CDROM_CHECK_VERIFY	0x24800
IOCTL_CDROM_CURRENT_POSITION	0x1
IOCTL_CDROM_DISK_TYPE	0x20040
IOCTL_CDROM_EJECT_MEDIA	0x24808
IOCTL_CDROM_ENABLE_STREAMING	0x24068
IOCTL_CDROM_EXCLUSIVE_ACCESS	0x2c05c
IOCTL_CDROM_FIND_NEW_DEVICES	0x24818
IOCTL_CDROM_GET_CONFIGURATION	0x24058
IOCTL_CDROM_GET_CONTROL	0x24034
IOCTL_CDROM_GET_DRIVE_GEOMETRY	0x2404c
IOCTL_CDROM_GET_DRIVE_GEOMETRY_EX	0x24050
IOCTL_CDROM_GET_INQUIRY_DATA	0x24064
IOCTL_CDROM_GET_LAST_SESSION	0x24038
IOCTL_CDROM_GET_PERFORMANCE	0x24070
